id,english,french,bislama,where
TR-0030,Customize your adventure with flexible pricing,Personnalisez votre aventure avec une tarification flexible,mekem gud  travel blong yu wetem ol fleksibol praeses,table: pass.subtitle
TR-0031,Build your Pass,Construisez votre pass,Mekem Pasem,table: passSelection.title
TR-0032,Customize your adventure with flexible pricing,Personnalisez votre aventure avec une tarification flexible,mekem gud  travel blong yu wetem ol fleksibol praeses,table: passSelection.subtitle
TR-0033,"Sign up, add how many people are travelling, your travel dates, pay with a credit card, and start saving.","Inscrivez-vous, indiquez le nombre de participants, vos dates de voyage, payez par carte de crédit, et commencez à économiser.","Sign ap, putum hu mas travelem, tet blong trip, pem wetem kredit kad, mo statem seving.",table: pass.build_how_desc
TR-0034,Choose your adventure,Choisissez votre aventure,Jusum adventja blong yu,table: passPricing.page_title
TR-0035,One pass — premium deals across Vanuatu.,Un pass — offres premium partout au Vanuatu.,Wan pas — premium dils long Vanuatu.,table: passPricing.page_subtitle
TR-0036,A$__BASE__ 1st guest + A$__GUEST__/extra (6+) · Under 6 free · max __MAX__/pass,__BASE__ $ 1re pers. + __GUEST__ $/supp. (6+) · -6 ans gratuits · max __MAX__/pass,A$__BASE__ fes + A$__GUEST__/narafala (6+) · under 6 fri · mak __MAX__/pas,table: passPricing.pricing_micro
TR-0037,1 day,1 jour,1 dei,table: passPricing.card_1d_title
TR-0038,24h access,Accès 24 h,24 aoa akses,table: passPricing.card_1d_hint
TR-0039,7 days,7 jours,7 dei,table: passPricing.card_7d_title
TR-0040,Holiday pass,Pass vacances,Holiday pas,table: passPricing.card_7d_hint
TR-0041,Best value,Meilleur rapport,Bes valiu,table: passPricing.badge_best_value
TR-0042,35% off,-35 %,karemaot 35% ,table: passPricing.chip_35
TR-0043,Maps,Cartes,Map,table: passPricing.chip_map
TR-0044,QR,QR,QR,table: passPricing.chip_qr
TR-0045,35% Off,-35 %,35% Of,table: passPricing.chip_row_35
TR-0046,Live Map,Carte live,laev Map,table: passPricing.chip_row_map
TR-0047,Fast QR,QR rapide,QR fas,table: passPricing.chip_row_qr
TR-0048,"Buy 1 week, get ","Achetez 1 semaine, ","pem  wan wik, ",table: passPricing.holiday_ribbon_prefix
TR-0049,1 WEEK FREE,LA 2E SEMAINE GRATUITE,1 WIK FRI,table: passPricing.holiday_ribbon_emphasis
TR-0050,7-Day Holiday Pass,Pass vacances 7 jours,Holiday pas blong 7 deis,table: passPricing.holiday_ribbon_title
TR-0051,"A$__BASE__ first guest (ages 6+), then A$__GUEST__ each additional guest up to __MAX__ per pass. Children under 6 are free.","__BASE__ $ 1re pers. (6 ans et +), puis __GUEST__ $ par invité supplémentaire jusqu’à __MAX__ / pass. Enfants de moins de 6 ans gratuits.","A$__BASE__ fes (6 yia mo antap), mo A$__GUEST__ long evri narafala man kasem __MAX__/pas. Pikinini andanit long 6 yia i fri.",table: passPricing.simple_header
TR-0052,People (ages 6+),Personnes (6 ans et +),ol bikinini weh (ages 6 yia  iko antap),table: passPricing.people_label
TR-0053,Coverage,Couverture,Kavarej,table: passPricing.coverage_label
TR-0054,Max __N__ per pass,Max __N__ par pass,Max __N__ wan  pas,table: passPricing.max_per_pass
TR-0055,1 day,1 jour,1 dei,table: passPricing.duration_1d
TR-0056,7 days,7 jours,7 dei,table: passPricing.duration_7d
TR-0057,Total,Total,Total,table: passPricing.total_label
TR-0058,"With __COUNT__ people, you could save A$__SAVE__ on your first day alone!","Avec __COUNT__ personnes, vous pourriez économiser __SAVE__ $ AUD rien que le premier jour !",Wetem __COUNT__ man i  save sevem  A$__SAVEM__ long fes dei  blong u nomo!,table: passPricing.savings_anchor
TR-0059,"Buy 1 week, get 1 week FREE","Achetez 1 semaine, la 2e semaine est GRATUITE","pem wan wik, karem narafala wik fri",table: passPricing.holiday_headline
TR-0060,7-day Holiday Pass + share the app after purchase to unlock your second week of deals.,Pass vacances 7 jours + partagez l’app après l’achat pour débloquer votre 2e semaine d’offres., 7 dei holiday blong  yu + serem app afta bai pem blong anlokem wik 2 blong dils.,table: passPricing.holiday_sub
TR-0061,Up to 35% off meals & tours,Jusqu’à 35 % sur repas & visites,Kasem 35% of long kakae mo tua,table: passPricing.included_meals
TR-0062,Interactive map & savings tracker,Carte interactive & suivi des économies,laev Map + saving tracker blong u,table: passPricing.included_map
TR-0063,Instant QR redemption,Utilisation QR instantanée,QR i redim stret weh,table: passPricing.included_qr
TR-0064,Purchase pass,Acheter le pass,Pemm pas,table: passPricing.purchase
TR-0065,Active pass,Pass actif,Pas i aktiv,table: passPricing.purchase_locked
TR-0066,+A$15 · 7-day unlock,+15 $ AUD · déblocage 7 j.,+A$15 · 7-dei anlok,table: passPricing.holiday_addon_micro
TR-0067,Decrease party size,Réduire le nombre de personnes,Inkrisim  namba blong man,table: passPricing.aria_decrease_party
TR-0068,Increase party size,Augmenter le nombre de personnes,Inkrisim namba blong man,table: passPricing.aria_increase_party
TR-0069,2nd Week FREE!,2e semaine OFFERTE !,Wik 2 FRI!,table: passPricing.value_2nd_week_headline
TR-0070,Secure payment,Paiement sécurisé,Sekurum pemen,table: passPricing.cta_secure_line
TR-0071,7-Day Holiday Pass,Pass vacances 7 jours, 7 dei Holidei pas,table: passPricing.card_header_holiday
TR-0072,Our signature pass for longer stays — best value.,Notre pass signature pour les longs séjours — le meilleur rapport.,Signature pas blong long taem stay — bes valiu.,table: passPricing.coverage_helper_7d
TR-0073,Staying a week or more? Choose 7 days — 2nd week free.,Une semaine ou plus ? Choisissez 7 jours — 2e semaine offerte.,Stap wan wik o moa? Jusum 7 dei — wik 2 i fri.,table: passPricing.coverage_nudge_7d
TR-0074,Quick port visit? Day pass still includes full in-app savings.,Escale courte ? Le pass 1 jour garde toutes les économies dans l’app.,Sot taem long port? Wan-dei pas i gat ful saving insaed long app.,table: passPricing.port_stay_hint
TR-0075,1-Day Pass,Pass 1 jour,Pas blong wan dei,table: passPricing.hero_1d_title
TR-0076,Full deal access for one calendar day.,Accès aux offres pour un jour calendaire.,Ful akses long dils blong wan kalenda dei.,table: passPricing.hero_1d_sub
TR-0077,Secure checkout,Paiement sécurisé,Sekurum  jek aot,table: passPricing.secure_pay_micro
TR-0078,Price breakdown,Détail du prix,Prais brekdaon,table: checkout.breakdown_title
TR-0079,Base pass (1st person ages 6+),"Pass de base (1re personne, 6 ans et +)",Bes pas (fes man 6+),table: checkout.base_pass_row
TR-0080,Additional guests (__COUNT__ × A$__FEE__),Invités supplémentaires (__COUNT__ × __FEE__ $ AUD),Narafala man (__COUNT__ × A$__FEE__),table: checkout.extra_guests_row
TR-0081,Guests 2–6 (__COUNT__ × A$__FEE__),Personnes 2 à 6 (__COUNT__ × __FEE__ $ AUD),Ol man 2–6 (__COUNT__ × A$__FEE__),table: checkout.extra_guests_2_6_row
TR-0082,"From 7th guest (__COUNT__ people, slots 7–__P__)","À partir de la 7e personne (__COUNT__ pers., places 7–__P__)","Long 7fala man (__COUNT__ man, slot 7–__P__)",table: checkout.extra_guests_from_7_row
TR-0083,Whole-trip option (+A$15),Option « tout le séjour » (+15 $ AUD),Opsen long ful trip (+A$15),table: checkout.extension_row
TR-0084,Total,Total,Total,table: checkout.total_row
TR-0085,💰 Potential savings: about A$__AMOUNT__+ on meals & tours — this pass can pay for itself.,💰 Économies potentielles : environ __AMOUNT__ $ AUD+ sur repas et visites — ce pass peut se rentabiliser.,💰 Saving we i save: kasem A$__AMOUNT__+ long kakae mo tua — pas ia u pem blong yu wan.,table: checkout.potential_savings
TR-0086,"With 1 person, you could save over ","Avec 1 personne, vous pourriez économiser plus de ","Wetem wan man, yu save sevem ova",table: checkout.savings_before_one
TR-0087,"With __COUNT__ people, you could save over ","Avec __COUNT__ personnes, vous pourriez économiser plus de ","Wetem __COUNT__ man, yu save sevem ",table: checkout.savings_before_many
TR-0088, on a single meal or tour, sur un repas ou une visite, long wan kakae o wan tua,table: checkout.savings_after_amount
TR-0089,This pass pays for itself immediately!,Ce pass se rentabilise immédiatement !,Long kaen pas ia emi pem em wan ariap nmo!,table: checkout.savings_subline
TR-0090,From your registration,D’après votre inscription,Long rejistresen blong yu,table: checkout.profile_party_title
TR-0091,"__ADULTS__ adults, __CHILDREN__ children (6+), __INFANTS__ under 6 / infants (free). Paying party for this pass: __PARTY__.","__ADULTS__ adultes, __CHILDREN__ enfants (6+), __INFANTS__ moins de 6 ans / bébés (gratuit). Groupe payant pour ce pass : __PARTY__.","__ADULTS__ bigman, __CHILDREN__ pikinini (6+), __INFANTS__ under 6 / infen (fri). Grup blong pem: __PARTY__.",table: checkout.profile_party_line
TR-0092,1-day discounts,Réductions 1 jour,Diskaun wan dei,table: checkout.option_day_title
TR-0093,Short visit — discounts on one calendar day you choose.,Courte visite — réductions sur un jour calendaire au choix.,Sot visit — diskount long wan kalenda dei yu jusum.,table: checkout.option_day_desc
TR-0094,Whole trip (+A$15),Tout le séjour (+15 $ AUD),Ful trip (+A$15),table: checkout.option_extended_title
TR-0095,Covers longer visits — __CAL__ calendar days of deal access from your start date.,Pour les séjours plus longs — __CAL__ jours calendaires d’accès aux offres à partir de la date de début.,I kafaremap visit we i longfala — __CAL__ kalenda dei blong akses long ol dils long det blong stat.,table: checkout.option_extended_desc
TR-0096,Recommended for your __NIGHTS__-night stay,Recommandé pour un séjour de __NIGHTS__ nuits,Rekomendem blong __NIGHTS__ naet weh yu stap,table: checkout.option_extended_badge
TR-0097,Total,Total,Total,table: checkout.option_total
TR-0098,"Pick who is covered (ages 6+), choose a 24-hour day pass or 7-day holiday pass, then your start date. Under-6 children travel free with your group.","Choisissez qui est couvert (6 ans +), pass 24 h ou pass vacances 7 jours, puis la date de début. Les moins de 6 ans voyagent gratuitement.","Jusum hu i kava (6+), wan dei pas o 7 dei holiday pas, mo det blong stat. Pikinini under 6 i fri wetem grup.",table: checkout.how_it_works_compact
TR-0099,Your pass,Votre pass,Pas blong yu,table: checkout.party_summary_label
TR-0100,Pass for __N__ people (ages 6+),Pass pour __N__ personnes (6 ans et +),Pas blong __N__ man (6+),table: checkout.party_summary_line
TR-0101,Edit,Modifier,jensem,table: checkout.party_edit
TR-0102,Done,Terminé,Finis,table: checkout.party_done
TR-0103,Choose plan,Choisir le forfait,Jusum plan,table: checkout.plan_pick_title
TR-0104,24-Hour Day Pass,Pass 24 heures,Pas blong 24 Awa,table: checkout.plan_day_title
TR-0105,Great for cruise ships and short stops.,Idéal pour les croisières et les escales courtes.,Bes blong kruz sip mo ol sot stops.,table: checkout.plan_day_sub
TR-0106,7-Day Holiday Pass,Pass vacances 7 jours,Pas blong 7 dei holidei,table: checkout.plan_holiday_title
TR-0107,Best for stayover visitors — 7 calendar days of deal access (+A$15). Share the app after purchase for 7 extra days free (14 days of deals total).,Idéal pour les séjours — 7 jours calendaires d’accès (+15 $ AUD). Partagez l’app après achat pour 7 jours supplémentaires gratuits (14 jours d’offres au total).,Bes stay over blong yu(visita) — 7 kalenda dei akses (+A$15). Serem app afta bai blong 7 dei moa blong free (14 dei long total).,table: checkout.plan_holiday_sub
TR-0108,Share this app and get 7 extra days FREE!!,Partagez l’application et obtenez 7 jours supplémentaires GRATUITS !!,Serem ap ia mo gat extra 7 dei frii!,table: checkout.share_second_week_unlock
TR-0109,Share this app and get 7 extra days FREE!!,Partagez l’application et obtenez 7 jours supplémentaires GRATUITS !!,Serem ap ia mo gat extra 7 dei frii!,table: share.holiday_banner_days
TR-0110,Share this app and get __N__ extra days FREE!!,Partagez l’application et obtenez __N__ jours supplémentaires GRATUITS !!,Sherem ap ia mo save karem __N__ extra frii dei!,table: share.holiday_banner_days_n
TR-0111,Share this app — +__PEOPLE__ people FREE & 7 extra days FREE!!,Partagez l’app — +__PEOPLE__ personnes gratuites et 7 jours supplémentaires GRATUITS !!,Serem ap ia — +__PEOPLE__ol i man fri mo 7 extra dei moa weh i  FRII!!,table: share.holiday_banner_combo
TR-0112,Share this app and unlock +__PEOPLE__ extra guests FREE!,Partagez l’app et débloquez +__PEOPLE__ invités supplémentaires GRATUITS !,Serem ap mo anlokem +__PEOPLE__ narafala man tu i fri!,table: share.holiday_banner_people_only
TR-0113,7 extra days free,7 jours gratuits,7 extra dei  free,table: share.holiday_pill_days
TR-0114,__N__ extra days free,__N__ jours gratuits,__N__ dei blong free,table: share.extra_days_pill_n
TR-0115,Unlock your bonus week! Share with friends to get 7 extra days free on your Holiday Pass.,Débloquez votre semaine bonus ! Partagez avec des amis pour obtenir 7 jours supplémentaires gratuits sur votre pass vacances.,Anlokem bonus wik! Serem wetem ol frens blong kasem 7 dei frii Holiday Pas blong yu.,table: share.holiday_card_subtext
TR-0116,7+7 Holiday Pass — share the app for 7 extra days FREE!,Pass vacances 7+7 — partagez l’app pour 7 jours supplémentaires GRATUITS !,Holidei pas 7+7 — serem ap blong u save kasem 7 extra dei frii,table: share.holiday_cta_header_sub
TR-0117,Share this app and get 7 extra days FREE!!,Partagez l’application et obtenez 7 jours supplémentaires GRATUITS !!,Serem  ap ia mo kasem extra 7 dei moa i FREE!!,table: share.holiday_navigator_body
TR-0118,You’ve got 7 days of deals — share this app for 7 extra days FREE on your Holiday Pass!,Vous avez 7 jours d’offres — partagez l’app pour 7 jours supplémentaires GRATUITS sur votre pass vacances !,Yu gat 7 dei blong dils — serem ap ia blong save gat 7 extra dei FREE long Holiday Pas!,table: share.qr_holiday_prompt
TR-0119,Share app — 7 extra days FREE,Partager l’app — 7 jours gratuits,Serem ap — yu save gat 7 moa dei  free,table: share.dashboard_unlock_button
TR-0120,7 days included · share for 7 extra days free (14 days total),7 jours inclus · partagez pour 7 jours gratuits en plus (14 j. au total),7 dei i stap insaed · sherem blong 7 dei moa blong free (14 dei),table: share.dashboard_coverage_pill
TR-0121,First week shown (7 days). Share this app for 7 extra days free!,1re semaine affichée (7 j.). Partagez l’app pour 7 jours gratuits en plus !,Fes wik 7 dei i soem. Sherem ap ia blong 7 dei moa blong free!,table: share.dashboard_week1_validity
TR-0122,Share app — 7 extra days FREE,Partager l’app — 7 jours gratuits,Sherem ap — 7 dei blong free,table: share.qr_unlock_button
TR-0123, · Share app for 7 extra days free (14 days total), · Partagez l’app pour 7 jours gratuits en plus (14 j. au total), · Sherem ap blong 7 dei moa blong free (14 dei),table: share.qr_period_bonus_hint
TR-0124,Your purchase includes a week of deal access. Share below for 7 extra days free (14 days of deals total).,Votre achat inclut une semaine d’accès aux offres. Partagez ci-dessous pour 7 jours supplémentaires gratuits (14 jours d’offres au total).,Bai blong yu i gat wan wik blong dils. Sherem daun blong 7 dei moa blong free (14 dei long total).,table: share.receipt_holiday_subline_pending
TR-0125,7-day deal access · share for 7 extra days free (14 days total),7 jours d’offres · partagez pour 7 jours gratuits en plus (14 j. au total),7 dei dils · sherem blong 7 dei moa blong free (14 dei),table: share.receipt_header_holiday_pending
TR-0126,"With __COUNT__ people, you'll save more than the cost of this pass (A$__PASS__) on your very first meal or tour!","Avec __COUNT__ personnes, vous économiserez plus que le prix de ce pass (__PASS__ $ AUD) dès votre premier repas ou tour !","Wetem __COUNT__ man, bae yu save moa long kost blong olgeta pas (A$__PASS__) long fes kakae o tua!",table: checkout.savings_anchor_v2
TR-0127,1 day,1 jour,wan dei,table: checkout.period_badge_one_day
TR-0128,Your trip: __NIGHTS__ nights,Votre séjour : __NIGHTS__ nuits,Trip blong yu: __NIGHTS__ naet,table: checkout.period_badge_trip_nights
TR-0129,Whole-trip coverage,Couverture « tout le séjour »,Kavaremap ful trip blong yu,table: checkout.period_badge_extended_generic
TR-0130,__CAL__ calendar days of deal access (inclusive).,__CAL__ jours calendaires d’accès aux offres (inclus).,__CAL__ kalenda dei blong akses long dils (i kaont olgeta).,table: checkout.period_legal_extended
TR-0131,Same calendar day — discounts on the start date you choose.,Même jour calendaire — réductions le jour de début choisi.,Sem kalenda dei — diskount long det blong stat.,table: checkout.end_date_helper_short
TR-0132,Through this end date (inclusive). Deal access lasts __CAL__ calendar days from your start.,Jusqu’à cette date de fin (inclus). L’accès aux offres dure __CAL__ jours calendaires à partir du début.,Kasem det blong finis (i kaont). Akses long dils i last __CAL__  stat long kalenda dei.,table: checkout.end_date_helper_extended
TR-0133,Pass & group,Pass et groupe,Pas mo grup,table: checkout.section_pass_group
TR-0134,When discounts apply,Quand les réductions s’appliquent,Taem diskount i aplae,table: checkout.section_dates
TR-0135,Pick when deal discounts turn on — the end date is set automatically from your pass type.,Choisissez l’activation des réductions — la fin est calculée selon votre type de pass.,Jusum taem diskount i stat — det blong finis i kam otomatik long taem blong pas.,table: checkout.section_dates_sub
TR-0136,Your discount window,Votre fenêtre de réductions,Windo blong diskount,table: checkout.discount_window_card_title
TR-0137,__CAL__-day deal access,__CAL__ j. d’accès aux offres,__CAL__ dei blong akses long dils,table: checkout.period_badge_pass_window
TR-0138,Your trip is __NIGHTS__ nights — align your start date with when you want to use deals.,Votre séjour : __NIGHTS__ nuits — alignez la date de début avec l’usage des offres.,Trip blong yu emi __NIGHTS__ naet — josem det blong stat wetem taem yu laik yusum dils.,table: checkout.window_trip_hint
TR-0139,Start,Début,Stat,table: checkout.window_label_start
TR-0140,End,Fin,Finis,table: checkout.window_label_end
TR-0141,Unlimited deal redemptions for your chosen coverage window.,Offres illimitées pendant la période choisie.,Ol dils we i no lim long taem yu josem.,table: checkout.order_summary_deals_short
TR-0142,Deal access runs __CAL__ calendar days from your start date (inclusive).,L’accès aux offres court __CAL__ jours calendaires à partir de la date de début (inclus).,Akses long dils i ran __CAL__ kalenda dei long det blong stat (i kaont olgeta).,table: checkout.order_summary_deals_extended
TR-0143,Your stay,Votre séjour,Taem yu stap,table: checkout.summary_duration_label
TR-0144,__CAL__ calendar days of access,__CAL__ jours calendaires d’accès,__CAL__ kalenda dei blong akses,table: checkout.summary_calendar_note
TR-0145,Buy Now,Acheter,Pem Nao ya,table: pass.buy
TR-0146,Access all deals,Accès à toutes les offres,Akses olgeta dils,table: pass.feature1
TR-0147,QR code coupons,Coupons QR code,QR kod kupons,table: pass.feature2
TR-0148,Map navigation,Navigation carte,Map navigesen,table: pass.feature3
TR-0149,Know before you buy,À savoir avant d’acheter,Save bifo yu pem,table: pass.know_before_title
TR-0150,From your profile: {days} days · {party} people toward pass limits (adults & children only; infants not counted).,D’après votre profil : {days} j · {party} personnes pour les limites du pass (adultes et enfants ; bébés non comptés).,Long profil blong yu: {dei} dei · {party} man long pas (bigman mo pikinini nomo; bebi i no kaont).,table: pass.know_trip_line
TR-0151,Share Bonus — unlocks extra people and/or discount days after you purchase (via Share the app).,Bonus de partage — débloque des places et/ou des jours de réduction après l’achat (via Partager l’app)., serem Bonus — i adem moa pipol mo/or moa dei diskount afta yu bai (serem app).,table: pass.know_bullet_1
TR-0152,Each pass card shows its base limits — compare them to your trip length and group size.,Chaque carte indique ses limites de base — comparez-les à la durée du séjour et à la taille du groupe.,Evri kaed i soem base limit blong hem — komperem wetem length blong trip mo grup.,table: pass.know_bullet_2
TR-0153,"After buying, use Share the app on your pass screen to apply Share Bonus.","Après l’achat, utilisez Partager l’app sur l’écran du pass pour activer le bonus.","Afta pem, yusum Sea app long skrin  blong applaem pas blong bonus.",table: pass.know_bullet_3
TR-0154,"You choose which days to use discounts; the pass expires on its end date, not when you leave the island.","Vous choisissez les jours d’utilisation ; le pass expire à sa date de fin, pas à votre départ.","Yu josem dei blong yusum diskount; pas i finis long det blong hem, no taem yu liv aelan.",table: pass.know_bullet_4
TR-0155,"For very large groups or long stays, one pass may not be enough — contact support or consider multiple passes.","Pour les très grands groupes ou longs séjours, un pass peut ne pas suffire — contactez le support ou plusieurs pass.","Long bigfala grup o long taem stap, wan pas bae i no save inaf — askem support o tingbaot moa pas.",table: pass.know_support
TR-0156,"Checkout will use {party} guests (ages 6+) · {duration} — A$15 first, then A$10 each additional guest up to 20; +A$15 for whole-trip (edit before paying).","Paiement : {party} voyageurs (6+) · {duration} — 15 $ 1re pers., puis 10 $ par invité supplémentaire jusqu’à 20 ; +15 $ séjour (modifiable avant paiement).","Checkout: {party} man (6+) · {duration} — A$15 fes, mo A$10 long evri narafala man kasem 20; +A$15 ful trip (yu save jensem bifo pem).",table: passFlow.checkout_preview
TR-0157,1-day,1 jour,wan-dei,table: passFlow.duration_short
TR-0158,whole-trip,tout le séjour,ful-trip,table: passFlow.duration_extended
TR-0159,Taking you to checkout…,Redirection vers le paiement…,Go long checkout…,table: passFlow.redirecting
TR-0160,Your pass,Votre pass,Pas blong yu,table: passFlow.home_skip_title
TR-0161,Continue to secure checkout. Party size and pass length use your profile — change them anytime before you pay.,Poursuivre vers le paiement sécurisé. Taille du groupe et durée d’après votre profil — modifiables avant paiement.,Go long sef checkout. Grup mo taem  blong usum profael blong yu — yu save jensem ani taem bifo yu pem,table: passFlow.home_skip_desc
TR-0162,Continue to checkout,Aller au paiement,Go long checkout,table: passFlow.home_skip_cta
TR-0163,Full pass details & pricing,Détails et tarifs du pass,Ful infomesen mo praes,table: passFlow.home_passes_info_link
TR-0164,Featured Deals,Offres en vedette,Fitjad Dils,table: biz.featured
TR-0165,All Deals,Toutes les offres,Olgeta Dils,table: biz.all
TR-0166,View Deal,Voir l'offre,Lukim Dil,table: biz.viewdeal
TR-0167,reviews,avis,rivius,table: biz.reviews
TR-0168,Hours,Horaires,Taem,table: biz.hours
TR-0169,Phone,Téléphone,Fon,table: biz.phone
TR-0170,Location,Emplacement,Ples,table: biz.location
TR-0171,Save,Sauvegarder,Sevem,table: biz.save
TR-0172,Explore Vanuatu,Explorez le Vanuatu,Eksploarem Vanuatu,table: map.title
TR-0173,Find deals near you on the interactive map,Trouvez des offres près de vous sur la carte interactive,Faenem dils klosap long yu long intaraktiv map,table: map.subtitle
TR-0174,What Tourists Say,Ce que disent les touristes,Wanem Turis i Talem,table: review.title
TR-0175,Write a Review,Écrire un avis,Raetim Wan Riviu,table: review.write
TR-0176,Submit Review,Soumettre l'avis,Sendim Riviu,table: review.submit
TR-0177,My Dashboard,Mon tableau de bord,Dasbod Blong Mi,table: dash.title
TR-0178,My Passes,Mes pass,Pas Blong Mi,table: dash.passes
TR-0179,Favorites,Favoris,Feverets,table: dash.favorites
TR-0180,Your saved places,Vos adresses enregistrées,Ples we yu sef,table: dash.favorites_list_heading
TR-0181,Browse deals and tap the heart on a listing to save it here.,Parcourez les offres et touchez le cœur sur une annonce pour l’enregistrer ici.,Lukluk long ol diskaon mo tap long hat blong sevem long ples ia.,table: dash.favorites_list_empty
TR-0182,Back to dashboard,Retour au tableau de bord,Go bak long dasbod,table: dash.favorites_back_dashboard
TR-0183,Redemption History,Historique d'utilisation,Histri blong Yusum,table: dash.history
TR-0184,No active pass. Get one to start saving!,Pas de pass actif. Obtenez-en un pour commencer à économiser!,No gat aktiv pas. Karem wan blong stat sevem!,table: dash.nopass
TR-0185,Pass checkout defaults,Préférences d’achat du pass,Pas checkout difolt,table: dash.pass_prefs_title
TR-0186,Used when you open checkout (you can still change before paying).,Utilisées à l’ouverture du paiement (modifiable avant de payer).,Yu sevem taem yu openem checkout (yu save jensem befo yu pem).,table: dash.pass_prefs_sub
TR-0187,Typical group size,Taille du groupe habituel,Grup saes,table: passPrefs.group_label
TR-0188,No saved default — checkout uses your travel party or 1 guest.,Aucune valeur enregistrée — le paiement utilise votre groupe voyage ou 1 personne.,No gat difolt — checkout i yusum grup blong travel o 1 gest.,table: passPrefs.group_hint_none
TR-0189,Next checkout will start with this group size.,Le prochain paiement commencera avec cette taille de groupe.,Nekis checkout bae stat wetem grup saes ia.,table: passPrefs.group_hint_saved
TR-0190,Just me (clear saved size),Moi seul (effacer la taille),Mi wan (klearem saes),table: passPrefs.just_me
TR-0191,{n} people,{n} personnes,{n} pipol,table: passPrefs.people_n
TR-0192,Preferred pass length,Durée du pass préférée,Stret taem blong pas,table: passPrefs.duration_label
TR-0193,24 hours (1 day),24 heures (1 jour),24 ao (wan dei),table: passPrefs.duration_short
TR-0194,7 days (+ share → 14),7 jours (+ partage → 14),7 dei (+ serem → 14),table: passPrefs.duration_extended
TR-0195,Save preferences,Enregistrer,Sevem preference,table: passPrefs.save
TR-0196,Saving…,Enregistrement…,Sev ap…,table: passPrefs.saving
TR-0197,Preferences saved,Préférences enregistrées,Preference ino sev,table: passPrefs.saved
TR-0198,Could not save preferences,Impossible d’enregistrer,preference ino sev,table: passPrefs.save_failed
TR-0199,Remember this pass setup?,Mémoriser cette configuration ?,Memorisaem pas setup?,table: passPrefs.post_title
TR-0200,Save the group size and pass length you just bought as your defaults for next time.,Enregistrer la taille du groupe et la durée achetées comme valeurs par défaut.,Sevem grup mo taem blong pas yu pem olsem difolt blong nekis taem.,table: passPrefs.post_desc
TR-0201,Save as my defaults,Enregistrer comme défauts,Sevem olsem difolt blong mi,table: passPrefs.post_remember
TR-0202,Save,Enregistrer,Sevem,table: passPrefs.post_save
TR-0203,Not now,Pas maintenant,No naoia,table: passPrefs.post_skip
TR-0204,About StikmNek,À propos de StikmNek,Abaotem StikmNek,table: footer.about
